,name,SAP,GEP,Affiliated_Secondary,latitude,longitude
90,Meridian Primary School,0,0,0,1.37552831658484,103.934889078518
91,Methodist Girls' School (Primary),0,0,1,1.34947276268396,103.884971343143
92,Montfort Junior School,0,0,1,1.37382444075979,103.889307782925
93,Nan Chiau Primary School,0,0,0,1.39221149906592,103.891180928186
94,Nan Hua Primary School,1,1,0,1.31920159956387,103.761095065761
95,Nanyang Primary School,1,1,1,1.32084749904532,103.807750155296
96,Naval Base Primary School,0,0,0,1.41630663159387,103.838794077233
97,New Town Primary School,0,0,0,1.29964188181021,103.80010216304
98,Ngee Ann Primary School,0,0,1,1.30552505910497,103.917463017497
99,North Spring Primary School,0,0,0,1.38706146494859,103.903202683028
100,North View Primary School,0,0,0,1.42752326549687,103.848254983853
101,North Vista Primary School,0,0,0,1.38282243016299,103.895961877928
102,Northland Primary School,0,0,0,1.42096989918951,103.840928424929
103,Northoaks Primary School,0,0,0,1.45660782030102,103.814196981329
104,Northshore Primary School,0,0,0,1.41813803336667,103.904416909742
105,Oasis Primary School,0,0,0,1.4044595121197,103.910896590133
106,Opera Estate Primary School,0,0,0,1.31931914436255,103.923788259248
107,Palm View Primary School,0,0,0,1.38376923022123,103.891354675017
108,Park View Primary School,0,0,0,1.37738069854249,103.939541695654
109,Pasir Ris Primary School,0,0,0,1.37241870245531,103.962807212116
110,Paya Lebar Methodist Girls' School (Primary),0,0,1,1.34947276268396,103.884971343143
111,Pei Chun Public School,1,0,0,1.33677864390672,103.855341310212
112,Pei Hwa Presbyterian Primary School,1,0,0,1.33805634613048,103.776106448614
113,Pei Tong Primary School,0,0,0,1.31619786415976,103.767599818844
114,Peiying Primary School,0,0,0,1.41741627551251,103.830143209875
115,Pioneer Primary School,0,0,0,1.33902264667589,103.687769623983
116,Poi Ching School,1,0,0,1.35765122315688,103.935246477199
117,Princess Elizabeth Primary School,0,0,0,1.34919098857585,103.740719208011
118,Punggol Cove Primary School,0,0,0,1.41159923273069,103.898803921164
119,Punggol Green Primary School,0,0,0,1.40187220643293,103.898801330302
120,Punggol Primary School,0,0,0,1.40514582647962,103.905156371376
121,Punggol View Primary School,0,0,0,1.40514582647962,103.905156371376
122,Qifa Primary School,0,0,0,1.3132658326807,103.756629101811
123,Qihua Primary School,0,0,0,1.44203596557592,103.788339762066
124,Queenstown Primary School,0,0,0,1.29559365009015,103.807548617332
125,Radin Mas Primary School,0,0,0,1.27495823622634,103.824188270373
126,Raffles Girls' Primary School,0,1,0,1.3294042600012,103.806442915912
127,Red Swastika School,1,0,0,1.33324297847732,103.934332314404
128,River Valley Primary School,0,0,0,1.29418347842837,103.836018941571
129,Riverside Primary School,0,0,0,1.44704734253719,103.801831963297
130,Rivervale Primary School,0,0,0,1.39340997767762,103.904559511997
131,Rosyth School,0,1,0,1.37289067499064,103.875001549174
132,Rulang Primary School,0,0,0,1.34673868889096,103.718457955487
133,Sembawang Primary School,0,0,0,1.4450737155262,103.821042374036
134,Seng Kang Primary School,0,0,0,1.38949740422462,103.899767112047
135,Sengkang Green Primary School,0,0,0,1.39284606680477,103.875217666486
136,Shuqun Primary School,0,0,0,1.34765311431632,103.721523713379
137,Si Ling Primary School,0,0,0,1.43240935732525,103.786035065192
138,Singapore Chinese Girls' Primary School,0,0,1,1.32080725235992,103.827744749548
139,South View Primary School,0,0,0,1.38166664389749,103.746275846011
140,Springdale Primary School,0,0,0,1.39467010299293,103.889926221247
141,St. Andrew's Junior School,0,0,1,1.33140255308868,103.865117134385
142,St. Anthony's Canossian Primary School,0,0,1,1.3347253730189,103.941234868202
143,St. Anthony's Primary School,0,0,1,1.3347253730189,103.941234868202
144,St. Gabriel's Primary School,0,0,1,1.34947192653862,103.862561037707
145,St. Hilda's Primary School,0,1,1,1.34938565036336,103.937007133662
146,St. Joseph's Institution Junior,0,0,1,1.31772860986913,103.845611935235
147,St. Margaret's Primary School,0,0,1,1.32439150290682,103.881624837373
148,St. Stephen's School,0,0,1,1.31878997295135,103.917258129598
149,Stamford Primary School,0,0,0,1.30345638467449,103.857453500579
150,Tampines North Primary School,0,0,0,1.36047641484682,103.948725782833
151,Tampines Primary School,0,0,0,1.3504863946694,103.943573098509
152,Tanjong Katong Primary School,0,0,0,1.30524084264265,103.900092702031
153,Tao Nan School,1,1,0,1.2943321052493,103.849026157822
154,Teck Ghee Primary School,0,0,0,1.36558782075966,103.850957126982
155,Teck Whye Primary School,0,0,0,1.38364996834457,103.753291857016
156,Telok Kurau Primary School,0,0,0,1.33104585441349,103.910934011337
